Delta,Theta,Alpha,Beta,User_ID
41093641863.4373,610594037.0905943,164848110.57252058,66136525.9193169,U_6
36526268429.085,596866365.9241498,162963144.74170282,65682552.57862456,U_6
31063183494.779236,583600998.9267129,161111117.1513856,65233545.973552845,U_6
26315429669.708878,570777335.642566,159291264.77759945,64789434.16113575,U_6
22463650812.557297,558375911.6650416,157502845.72744468,64350145.92155158,U_6
19372004956.53597,546378327.6565369,155745140.54635018,63915612.55353644,U_6
16875981644.182705,534767180.4576163,154017449.38195887,63485765.993390135,U_6
14839213362.884014,523525994.47576445,152319092.600569,63060539.72496891,U_6
13157699922.956142,512639167.97712386,150649409.41667956,62639867.34849263,U_6
11753693762.988396,502091915.30884176,149007757.7113553,62223683.28610426,U_6
10569031839.906061,491870216.5663735,147393513.37822238,61811925.82226841,U_6
9559835330.86117,481960769.0648315,145806069.75631124,61404532.57584597,U_6
8692628722.711435,472350944.3986418,144244835.98445645,61001441.534687676,U_6
7941565959.030962,463028749.5538923,142709238.48245028,60602593.017511055,U_6
7286454233.459442,453982788.3642727,141198718.98252782,60207928.01736563,U_6
6711338201.798908,445202221.0183081,139712734.31772786,59817387.91571951,U_6
6203476235.395219,436676738.8228059,138250756.1071903,59430916.17964395,U_6
5752592043.81054,428396530.3317562,136812269.63596413,59048456.77852193,U_6
5350321218.207981,420352250.06870615,135396773.70281816,58669954.325719975,U_6
4989797420.700839,412534997.6486153,134003781.63830571,58295354.749053776,U_6
4665339480.005627,404936287.9970969,132632818.80565952,57924605.28408951,U_6
4372212351.302369,397548029.20101035,131283423.00411916,57557653.04344049,U_6
4106442672.4727354,390362502.7549366,129955143.74834342,57194446.60433423,U_6
3864675144.9254613,383372339.8891402,128647543.58021867,56834935.38921721,U_6
3644059680.671415,376570506.9567896,127360195.37877671,56479069.86316771,U_6
3442162007.675285,369950282.5374806,126092682.42540549,56126801.34261621,U_6
3256892305.858082,363505244.1080782,124844599.47458443,55778081.80491123,U_6
3086447820.349536,357229250.4028912,123615552.15371129,55432863.48644602,U_6
2929266410.6225867,351116428.7334878,122405154.73361327,55091100.079296984,U_6
2783988627.232145,345161159.14978456,121213032.04411304,54752745.86972481,U_6
2649426773.576867,339358061.99541265,120038818.31950113,54417755.941344544,U_6
2524539210.962308,333701985.6375253,118882156.46947344,54086086.44706385,U_6
2408409163.7716007,328187996.21533346,117742698.4905159,53757693.6174777,U_6
2300227019.1449757,322811363.7861755,116620104.83600034,53432534.51970504,U_6
2199275537.872128,317567555.1627929,115514044.79414208,53110567.02288445,U_6
2104917369.0120668,312452222.9115705,114424195.2380667,52791750.15196246,U_6
2016584529.0106997,307461196.3980797,113350241.08465369,52476042.86258846,U_6
1933769454.0056818,302590472.5081777,112291874.8565385,52163405.13865313,U_6
1856017402.3965034,297836209.39617294,111248796.47998056,51853797.70468244,U_6
1782919934.2885835,293194716.4208278,110220712.9125961,51547181.6331169,U_6
1714109320.5733852,288662449.39693564,109207338.29317167,51243518.7094169,U_6
1649253751.8849545,284236001.7759819,108208393.58520283,50942771.43964808,U_6
1588053167.9733124,279912099.5949905,107223606.35409205,50644902.977629416,U_6
1530235648.879441,275687594.37035924,106252710.39605117,50349876.686793104,U_6
1475554297.8131502,271559458.024024,105295445.8363283,50057656.95005441,U_6
1423784495.5647397,267524776.33497378,104351558.70292172,49768208.53659133,U_6
1374721533.3075774,263580746.0489301,103420801.38331112,49481496.647544034,U_6
1328178502.9022353,259724667.14694434,102502931.40864138,49197487.15114389,U_6
1283984469.1117394,255953939.68750334,101597712.15214087,48916146.431913584,U_6
1241982842.0616379,252266060.52478316,100704912.34704158,48637441.42595379,U_6
1202029951.198295,248658615.9128148,99824306.15706395,48361339.51798098,U_6
1163993778.76231,245129280.5811904,98955672.78178379,48087808.74401408,U_6
1127752842.3953154,241675812.76564083,98098796.12532558,47816817.416105166,U_6
1093195188.991997,238296050.8005145,97253465.34078695,47548334.44324673,U_6
1060217509.2960086,234987909.3140275,96419474.02207866,47282329.1961053,U_6
1028724346.7870892,231749376.03078473,95596620.5375819,47018771.51623568,U_6
998627387.1866791,228578509.2061656,94784707.66225025,46757631.77320525,U_6
969844821.9941291,225473434.82260308,93983542.34205036,46498880.66162728,U_6
942300780.772577,222432342.62651473,93192936.11832553,46242489.39209139,U_6
915924817.1445963,219453485.17352214,92412704.33854474,45988429.570552066,U_6
890651452.2447364,216535173.61931235,91642666.49846195,45736673.259125695,U_6
866419750.0799242,213675776.2701887,90882646.1959686,45487192.988182835,U_6
843172950.4454348,210873716.58942622,90132470.27855368,45239961.551916964,U_6
820858125.2953681,208127469.95368394,89391970.03822468,44994952.238514684,U_6
799425871.5715731,205435561.82332143,88660979.83543444,44752138.76913298,U_6
778830030.806907,202796567.21241075,87939337.93455654,44511495.25669786,U_6
759027437.7911427,200209106.84230825,87226885.37204653,44272996.11098982,U_6
739977687.2970867,197671846.23112825,86523467.34670343,44036616.17693231,U_6
721642927.3036098,195183494.12054726,85828932.02692854,43802330.64692679,U_6
1.3230270455175134e+16,70045995946.79373,17654506826.20148,6887550695.118147,U_7
1.1482987242176578e+16,68360279955.18806,17445138963.263145,6839099631.641476,U_7
1.3640784315164446e+16,66735195587.25842,17239557521.044342,6791190077.211207,U_7
1.1429590230763538e+16,65167861058.47827,17037671712.345018,6743814018.168885,U_7
1275385369335450.2,63655564267.743515,16839393457.289162,6696963588.543919,U_7
4909496779632.035,62195750914.43057,16644637286.737465,6650631066.881403,U_7
3678876606157.647,60786013579.65782,16453320249.968739,6604808873.360459,U_7
3220252663727.5566,59424081679.05583,16265361826.205647,6559489566.544585,U_7
2751888359074.9395,58107812212.40307,16080683839.530361,6514665840.21313,U_7
2354961266979.9355,56835181235.72574,15899210377.103737,6470330520.436523,U_7
2032054097737.8933,55604275991.10818,15720867711.755102,6426476562.6989975,U_7
1770099887903.3484,54413287640.313156,15545584225.780787,6383097049.486878,U_7
1555923644281.256,53260504546.528786,15373290339.688856,6340185187.184528,U_7
1378945090935.118,52144306058.95828,15203918442.75994,6297734303.274562,U_7
1231109092582.6396,51063156756.86794,15037402826.04802,6255737844.338269,U_7
1106343963996.52,50015601115.7534,14873679619.207844,6214189372.854084,U_7
1000052746250.1887,49000258558.077774,14712686728.598211,6173082565.145774,U_7
908721426248.8396,48015818860.452126,14554363778.315199,6132411209.096918,U_7
829633358763.7803,47061037886.56937,14398652053.815527,6092169200.89177,U_7
760664034745.6295,46134733617.33112,14245494446.743183,6052350544.197951,U_7
700133429492.6023,45235782459.0891,14094835402.791027,6012949346.934397,U_7
646698983413.2628,44363115806.13967,13946620871.121552,5973959819.240715,U_7
599277249068.2833,43515716835.6439,13800798255.969002,5935376271.2603655,U_7
556985891341.2056,42692617519.93792,13657316369.599098,5897193111.504072,U_7
519100273617.4065,41892895838.25894,13516125387.155703,5859404844.536397,U_7
485020607313.7586,41115673172.80128,13377176804.069508,5822006068.84172,U_7
454246834932.5404,40360111874.97967,13240423393.242355,5784991475.293693,U_7
426359235929.40906,39625412990.903305,13105819165.56099,5748355844.947161,U_7
401003311756.3739,38910814131.11473,12973319331.082926,5712094047.42735,U_7
377877902538.2954,38215587478.50897,12842880261.216589,5676201038.65033,U_7
356725767473.3708,37539037919.94712,12714459452.915379,5640671859.906437,U_7
337326060425.0997,36880501296.14733,12588015494.898764,5605501635.632007,U_7
319488275692.2647,36239342759.67325,12463508032.870836,5570685571.454399,U_7
303047343464.0984,35614955232.718605,12340897737.9677,5536218953.323741,U_7
287859631062.96075,35006757960.48263,12220146275.246716,5502097145.161423,U_7
273799662950.36002,34414195151.54461,12101216274.165884,5468315587.873567,U_7
260757415011.88577,33836734697.970825,11984071299.516548,5434869797.387519,U_7
248636070377.8857,33273866973.923065,11868675822.87604,5401755363.530906,U_7
237350148693.58356,32725103703.277466,11754995196.309423,5368967948.524567,U_7
226823939092.89984,32189976893.416946,11642995626.261887,5336503285.258432,U_7
216990181569.9095,31668037831.334507,11532644147.647411,5304357176.290811,U_7
207788952550.15378,31158856136.64324,11423908600.323578,5272525492.12432,U_7
199166719125.7745,30662018869.1046,11316757605.778784,5241004170.211724,U_7
191075533306.1647,30177129686.11561,11211160543.569128,5209789213.671963,U_7
183472342978.39926,29703808047.618324,11107087530.122349,5178876689.625821,U_7
176318400499.67212,29241688464.84881,11004509397.451319,5148262728.248399,U_7
169578753460.47208,28790419790.2916,10903397672.36261,5117943521.694152,U_7
163221804694.1738,28349664547.266384,10803724556.921427,5087915322.71421,U_7
157218930959.8915,27919098295.159252,10705462909.435717,5058174443.401878,U_7
151544151484.70337,27498409029.281445,10608586225.888279,5028717254.363053,U_7
146173839019.18753,27087296612.4554,10513068621.632263,4999540183.189515,U_7
141086467257.92987,26685472236.30901,10418884814.662539,4970639713.977973,U_7
136262389475.2086,26292657911.87766,10326010108.383917,4942012385.858032,U_7
131683644016.39218,25908585985.786003,10234420375.816679,4913654791.824693,U_7
127333782977.33018,25532998683.012123,10144092043.639143,4885563578.221802,U_7
123197720951.95059,25165647670.37172,10055002077.009584,4857735443.205065,U_7
119261601192.2273,24806293645.66539,9967127965.164799,4830167136.204067,U_7
115512676925.57608,24454705945.31994,9880447706.270863,4802855456.831385,U_7
111939205885.31255,24110662172.127506,9794939795.171473,4775797253.818232,U_7
108530356394.80977,23773947842.59304,9710583208.737951,4748989424.263206,U_7
105276123579.7859,23444356050.344147,9627357393.488605,4722428912.730979,U_7
102167254471.40045,23121687147.612385,9545242252.760086,4696112710.448986,U_7
99195180936.00067,22805748440.56858,9464218134.66307,4670037854.253342,U_7
96351959507.39201,22496353900.99223,9384265820.703764,4644201425.938428,U_7
93630217318.77339,22193323891.105835,9305366513.9366,4618600551.357224,U_7
91023103433.78235,21896484901.513233,9227501828.116262,4593232399.598772,U_7
88524244971.27013,21605669302.066666,9150653776.528463,4568094182.386671,U_7
86127707487.4135,21320715103.513115,9074804762.208145,4543183153.075788,U_7
83827959146.81557,21041465731.99427,8999937567.694025,4518496605.951739,U_7
81619838275.73297,20767769812.215565,8926035345.115452,4494031875.786735,U_7
79498523934.24893,20499480961.960194,8853081606.625463,4469786336.743226,U_7
77459509191.36272,20236457595.263237,8781060215.53594,4445757401.87999,U_7
75498576819.70528,19978562735.04363,8709955376.8172,4421942522.388835,U_7
73611777164.84367,19725663833.930763,8639751629.04518,4398339186.923787,U_7
71795407968.47598,19477632603.71063,8570433835.836183,4374944920.9572115,U_7
3.886445491685916e+16,143224544981.7425,36021883002.18572,14046958674.264631,U_8
2.131244053632418e+16,139768306810.17395,35594386090.126114,13948116114.062866,U_8
2.1517193224621816e+16,136436813864.10588,35174627605.08403,13850378648.869455,U_8
1.5546583730604896e+16,133224112571.4102,34762421792.09093,13753729917.294844,U_8
1750480515005099.2,130124601557.64767,34357588442.07053,13658153859.871347,U_8
10866553595034.188,127133006857.65495,33959952694.865566,13563634712.441372,U_8
8263757671719.709,124244359146.71042,33569344849.576572,13470156999.92348,U_8
7064829143754.83,121453972797.26503,33185600182.783634,13377705529.914968,U_8
5973734585189.617,118757426608.44328,32808558774.050694,13286265386.081654,U_8
5078747163389.052,116150546044.14464,32438065338.798157,13195821922.398027,U_8
4360455149787.164,113629386854.69688,32073969068.129826,13106360757.965994,U_8
3782281930805.452,111190219955.01048,31716123474.142475,13017867769.966516,U_8
3312257557778.406,108829517452.0781,31364386242.561394,12930329089.357847,U_8
2925727225642.8784,106543939723.06892,31018619090.727,12843731094.905313,U_8
2604231631797.481,104330323454.95375,30678687630.70812,12758060407.092005,U_8
2333978285052.179,102185670559.74544,30344461238.960518,12673303884.668993,U_8
2104583992046.2974,100107137900.32686,30015812929.84544,12589448618.52418,U_8
1908146619274.202,98092027752.55493,29692619234.936157,12506481926.498806,U_8
1738580691209.786,96137778950.46848,29374760086.789604,12424391349.3897,U_8
1591144314991.2336,94241958653.94724,29062118706.409233,12343164645.687214,U_8
1462100688417.0566,92402254688.88937,28754581496.22183,12262789787.731524,U_8
1348473685871.7112,90616468420.68822,28452037936.522938,12183254956.296652,U_8
1247869456707.1985,88882508112.31555,28154380485.973835,12104548537.059118,U_8
1158344725862.4973,87198382733.02219,27861504484.976433,12026659115.779194,U_8
1078308472855.3206,85562196182.36931,27573308064.061016,11949575474.488413,U_8
1006447727370.9232,83972141899.61928,27289692055.44533,11873286587.397516,U_8
941670981927.4006,82426497823.81091,27010559906.425285,11797781617.256565,U_8
883064612756.3705,80923621685.45499,26735817597.436214,11723049910.898993,U_8
829859005799.7257,79461946601.48035,26465373563.08059,11649080995.856766,U_8
781401995452.7582,78039976951.6662,26199138615.053467,11575864576.770504,U_8
737137865505.5905,76656284516.35272,25937025868.69573,11503390531.382122,U_8
696590618621.4623,75309504856.36113,25678950671.48736,11431648907.642117,U_8
659350549315.5953,73998333919.00162,25424830535.28799,11360629920.032866,U_8
625063394021.2223,72721524852.12926,25174585069.606594,11290323945.832129,U_8
593421506822.1948,71477885014.02989,24928135917.982464,11220721522.52479,U_8
564156638705.8654,70266273165.2296,24685406696.5574,11151813344.362095,U_8
537033994902.9829,69085596824.97823,24446322934.85506,11083590259.247541,U_8
511847317247.4227,67934809790.74207,24210812018.40093,11016043265.278784,U_8
488414793832.25116,66812909800.012085,23978803133.318645,10949163508.557999,U_8
466575640030.81726,65718936329.61114,23750227213.32767,10882942279.868353,U_8
446187227420.67004,64651968524.291435,23525016888.05334,10817371011.759125,U_8
427122662143.0653,63611123243.983536,23303106432.620914,10752441276.080929,U_8
409268733764.4413,62595553220.269516,23084431721.054253,10688144781.093626,U_8
392524170975.7574,61604445320.77449,22868930178.455067,10624473368.73874,U_8
376798152638.83075,60637018908.54691,22656540736.695854,10561419012.2983,U_8
362009032073.24036,59692524292.72965,22447203791.081997,10498973813.676706,U_8
348083240321.41125,58770241267.24955,22240861158.55618,10437130000.846899,U_8
334954340131.40594,57869477726.672905,22037456037.09829,10375879925.849148,U_8
322562207330.03876,56989568359.3903,21836932966.22587,10315216061.984407,U_8
310852320298.10455,56129873409.33624,21639237789.53397,10255131001.86617,U_8
299775141466.31573,55289777506.76119,21444317617.490986,10195617454.7824,U_8
289285577396.77155,54468688558.044044,21252120793.072422,10136668244.845982,U_8
279342506208.5767,53666036696.70238,21062596856.519173,10078276308.692545,U_8
269908362881.48413,52881273287.371895,20875696512.41233,10020434693.086836,U_8
260948774432.18307,52113869982.827896,20691371597.824856,9963136553.577961,U_8
252432238214.7944,51363317828.25521,20509575050.34927,9906375151.773106,U_8
244329837579.78305,50629126412.62999,20330260878.994194,9850143853.654617,U_8
236614990005.51004,49910823062.87171,20153384135.267876,9794436127.599367,U_8
229263223515.2894,49207952078.261635,19978900883.877686,9739245542.55594,U_8
222251977788.07352,48520074002.86895,19806768175.97318,9684565766.264786,U_8
215560426890.7191,47846764935.081924,19636944022.720844,9630390563.100752,U_8
209169320972.2208,47187615870.701416,19469387369.50876,9576713792.612577,U_8
203060844631.26422,46542232078.29326,19304058071.143917,9523529407.683865,U_8
197218489969.12808,45910232504.610054,19140916867.945446,9470831452.98351,U_8
191626942611.9502,45291249209.40536,18979925362.166218,9418614063.0013,U_8
186271979203.65527,44684926826.64333,18821045995.624317,9366871460.826782,U_8
181140375058.39117,44090922051.401695,18664242027.270195,9315597955.969427,U_8
176219820846.75027,43508903152.334175,18509477512.28941,9264787943.358553,U_8
171498847298.9769,42938549504.83318,18356717281.73049,9214435901.691643,U_8
166966757072.57816,42379551148.803185,18205926921.845287,9164536391.828053,U_8
162613562996.95996,41831608363.300026,18057072755.45692,9115084055.227365,U_8
158429932026.98535,41294431264.11597,17910121822.41473,9066073612.726833,U_8
154407134308.12775,40767739418.59417,17765041861.393513,9017499863.085356,U_8
150536996824.70557,40251261476.801445,17621801293.170475,8969357681.515295,U_8
146811861163.45663,39744734821.35676,17480369202.04937,8921642018.469511,U_8
2323462577281943.5,30728187980.338852,7743334449.340604,3020777696.5293307,U_9
1018958745541119.2,29988522984.175488,7651498676.764268,2999527194.1922755,U_9
1707843592243968.8,29275468961.073215,7561323897.066899,2978514204.367996,U_9
1366806379556745.5,28587760773.660404,7472770280.306519,2957735211.9020452,U_9
172762729413568.2,27924207797.721043,7385799184.28373,2937186766.4490013,U_9
1982045091407.4792,27283688699.47297,7300373112.799998,2916865481.3708887,U_9
1639644392248.9329,26665146642.91317,7216455674.871525,2896768031.85302,U_9
1407686719328.4001,26067584875.266838,7134011545.2555,2876891153.798066,U_9
1197796613650.881,25490062665.643482,7053006426.7761135,2857231642.579709,U_9
1025243319100.2001,24931691557.96681,6973407016.421119,2837786351.4302163,U_9
885810006322.6605,24391631916.056778,6895180969.576154,2818552190.4954925,U_9
772689550181.5941,23869089732.009007,6818296867.682245,2799526125.654087,U_9
680016919495.009,23363313676.47521,6742724185.8407545,2780705176.6712146,U_9
603259575851.2358,22873592366.96927,6668433262.80414,2762086417.1442337,U_9
539001222984.7112,22399251842.992794,6595395272.5371475,2743666972.461597,U_9
484668601588.94257,21939653220.430412,6523582195.004598,2725444019.0253534,U_9
438308397744.58936,21494190521.42912,6452966790.024022,2707414783.1491923,U_9
398422021358.49274,21062288655.291626,6383522570.708776,2689576539.839023,U_9
363846566219.834,20643401545.655407,6315223779.671535,2671926611.8808684,U_9
333669395355.4763,20237010386.95802,6248045363.657919,2654462369.3071995,U_9
307166535902.73956,19842622022.715034,6181962950.955837,2637181227.6296816,U_9
283757843818.79517,19459767437.155,6116952830.809682,2620080647.0820823,U_9
262974027472.32117,19088000347.247704,6052991929.465888,2603158132.1585164,U_9
244432125951.26883,18726895891.579735,5990057791.668877,2586411230.2914047,U_9
227817075588.0503,18376049404.50662,5928128559.948033,2569837531.047717,U_9
212867707057.57227,18035075272.95029,5867182955.575522,2553434665.1801863,U_9
199366001217.92102,17703605870.40616,5807200261.185097,2537200303.9370494,U_9
187128766951.06363,17381290554.541206,5748160302.053434,2521132158.3429036,U_9
176001137203.43427,17067794735.400434,5690043429.235269,2505227977.784589,U_9
165851443015.6431,16762798998.36034,5632830504.016572,2489485550.1972337,U_9
156567141541.10422,16465998283.796427,5576502881.158307,2473902700.452247,U_9
148051557119.5773,16177101120.001062,5521042394.081215,2458477289.8530817,U_9
140221254713.72534,15895828901.636393,5466431340.421496,2443207215.730843,U_9
133003909008.47195,15621915212.589579,5412652467.324664,2428090410.227991,U_9
126336564765.2998,15355105190.960503,5359688958.308178,2413124839.955154,U_9
120164208255.13641,15095154931.625528,5307524419.875872,2398308505.21699,U_9
114438587662.03947,14841830925.944973,5256142868.490485,2383639439.2237406,U_9
109117233753.36635,14594909532.093266,5205528718.945489,2369115707.587058,U_9
104162642945.58704,14354176479.717436,5155666772.30755,2354735407.6177187,U_9
99541592502.93556,14119426400.869225,5106542204.0106,2340496667.7114797,U_9
95224563917.17865,13890462389.893478,5058140553.369876,2326397646.8130417,U_9
91185255336.13629,13667095586.524328,5010447712.761344,2312436533.6772294,U_9
87400167594.71425,13449144786.464273,4963449917.218533,2298611546.3772454,U_9
83848251347.07892,13236436068.76997,4917133734.508043,2284920931.7339864,U_9
80510605233.26086,13028802448.60018,4871486055.864516,2271362964.785418,U_9
77370216733.83133,12826083547.760757,4826494086.235356,2257935948.1574993,U_9
74411738906.79152,12628125280.730942,4782145335.277384,2244638211.6887836,U_9
71621297502.6729,12434779562.58795,4738427609.15634,2231468111.710892,U_9
68986323722.38742,12245904029.505316,4695329001.726046,2218424030.7593155,U_9
66495408821.14874,12061361776.543104,4652837886.560773,2205504376.8446574,U_9
64138177353.03631,11881021105.094448,4610942909.02791,2192707583.1073704,U_9
61905176328.49463,11704755289.382025,4569632979.052052,2180032107.3613386,U_9
59787778072.98571,11532442351.960646,4528897263.075065,2167476431.6112533,U_9
57778094844.75955,11363964851.651257,4488725177.629546,2155039061.5630774,U_9
55868903651.08982,11199209681.063978,4449106381.910974,2142718526.2036717,U_9
54053579829.02914,11038067877.295666,4410030771.593549,2130513377.320437,U_9
52326038298.57262,10880434440.912436,4371488472.145699,2118422189.1572285,U_9
50680681442.69118,10726208163.039242,4333469832.357576,2106443557.9591672,U_9
49112352800.2203,10575291462.2815,4295965418.7944565,2094576101.5580373,U_9
47616295827.47075,10427590230.530598,4258966009.5283933,2082818459.0133479,U_9
46188117099.27583,10283013684.063375,4222462588.661919,2071169290.1714492,U_9
44823753420.79231,10141474225.42669,4186446340.7000422,2059627275.313684,U_9
43519442369.22384,10002887307.908625,4150908645.262782,2048191114.7682953,U_9
42271695870.855255,9867171310.15356,4115841072.123788,2036859528.509595,U_9
41077276452.49358,9734247415.71028,4081235376.010776,2025631256.009768,U_9
39933175867.92485,9604039496.282297,4047083491.572568,2014505055.5703773,U_9
38836595824.68656,9476474004.234194,4013377529.144026,2003479704.1388292,U_9
37784930585.58427,9351479866.512735,3980109769.8358746,1992553997.0745344,U_9
36775751231.8505,9228988387.074272,3947272661.1116996,1981726747.6577373,U_9
35806791410.4391,9108933150.890371,3914858812.565871,1970996786.8443823,U_9
34875934407.37116,8991249934.009888,3882860991.9206257,1960362962.9322042,U_9
33981201409.802544,8875876616.595022,3851272120.806123,1949824141.2308414,U_9
33120740833.148224,8762753100.903952,3820085270.8061433,1939379203.7990117,U_9
32292818601.292904,8651821234.835436,3789293659.905982,1929027049.1879613,U_9
31495809278.301064,8543024733.126768,3758890648.553869,1918766592.037053,U_9
2.409756984446044e+16,190668325685.9833,48001704156.23834,18722414102.350445,U_10
1.5529231178077792e+16,186073050365.04565,47432223564.90657,18590689560.46119,U_10
1.8872135208780656e+16,181643361510.02548,46873047145.1024,18460437506.131073,U_10
1.2272542150252288e+16,177371371769.4613,46323927681.980034,18331636142.69339,U_10
1891027332918797.2,173249659345.3068,45784625338.95086,18204264076.12509,U_10
13036612612105.877,169271235308.4656,45254907393.01951,18078300305.63032,U_10
10587986232172.545,165429513564.58487,44734547984.16997,17953724215.1284,U_10
9062786895481.75,161718283233.91864,44223327872.41285,17830515565.03154,U_10
7685878828395.789,158131683217.64264,43721034206.15894,17708654483.847668,U_10
6556945465018.543,154664178757.5108,43227460301.06099,17588121460.081493,U_10
5647862535081.606,151310539816.7262,42742405426.79951,17468897334.502884,U_10
4913073396480.825,148065821113.0932,42265674600.90502,17350963293.150738,U_10
4313302347385.522,144925343668.29672,41797078392.52407,17234300858.775257,U_10
3818241059471.271,141884677741.03952,41336432734.51907,17118891884.053324,U_10
3405105997622.1797,138939627022.11133,40883558741.42269,17004718545.171545,U_10
3056792255963.6567,136086213993.0457,40438282534.94025,16891763334.260586,U_10
2760361968650.799,133320666344.94597,40000435077.79794,16780009052.765654,U_10
2505924982996.303,130639404376.16199,39569852011.87518,16669438805.264025,U_10
2285833691189.209,128039029280.57578,39146373503.27802,16560035992.8301,U_10
2094106705985.3572,125516312264.6543,38729844094.41689,16451784306.126991,U_10
1926014398788.092,123068184421.65544,38320112559.6841,16344667720.710241,U_10
1777778210513.503,120691727301.13045,37917031769.49515,16238670490.415558,U_10
1646350212203.5068,118384164126.42912,37520458556.171555,16133777141.586304,U_10
1529249716206.6807,116142851603.09688,37130253588.004524,16029972467.159433,U_10
1424440844212.9187,113965272275.47893,36746281245.31347,15927241521.501171,U_10
1330239809493.2175,111849027392.79706,36368409502.522514,15825569614.95228,U_10
1245243987701.9253,109791830240.09097,35996509814.85605,15724942308.74519,U_10
1168277132515.8977,107791499904.9289,35630457008.46107,15625345409.707653,U_10
1098346675764.9159,105845955447.04819,35270129174.62318,15526764965.300879,U_10
1034610160713.3656,103953210435.97635,34915407568.36233,15429187258.561293,U_10
976348641665.4758,102111367839.44173,34566176510.4699,15332598803.587833,U_10
922945443802.403,100318615228.06528,34222323292.178524,15236986340.85919,U_10
873869081587.8801,98573220279.83397,33883738084.77225,15142336832.67153,U_10
828659428842.8684,96873526562.11136,33550313851.45156,15048637458.533327,U_10
786916450240.4781,95217949566.80069,33221946262.31962,14955875611.138933,U_10
748290964596.0417,93604972991.97377,32898533613.16926,14864038891.886765,U_10
712477030747.3127,92033145240.14076,32579976745.871986,14773115106.714794,U_10
679205637112.5801,90501076128.43958,32266178972.46976,14683092262.349411,U_10
648239445230.1334,89007433792.06313,31957046002.048473,14593958562.004309,U_10
619368390070.6263,87550941768.2503,31652485869.2008,14505702401.807259,U_10
592405980616.107,86130376246.32985,31352408865.38435,14418312366.9375,U_10
567186175709.7673,84744563482.72708,31056727473.474777,14331777227.835463,U_10
543560734804.0768,83392377357.24983,30765356303.219498,14246085936.609098,U_10
521396962558.26935,82072737069.06894,30478212029.69278,14161227623.81731,U_10
500575781511.8402,80784604962.3349,30195213333.348156,14077191594.68279,U_10
480990079199.4884,79526984474.48523,29916280842.797794,13993967325.881794,U_10
462543285776.883,78298918193.89366,29641337078.432983,13911544462.17278,U_10
445148146002.1219,77099486025.73975,29370306399.320984,13829912813.353197,U_10
428725655676.2804,75927803459.29578,29103114950.403973,13749062350.88853,U_10
413204137758.27985,74783019925.62752,28839690612.318764,13668983204.954332,U_10
398518437500.92596,73664317244.33722,28579962952.893444,13589665661.555899,U_10
384609219340.661,72570908153.47293,28323863179.388,13511100159.351397,U_10
371422351023.67755,71502034915.65463,28071324093.644157,13433277286.972612,U_10
358908362804.422,70456967996.89093,27822280047.30043,13356187780.030727,U_10
347021971364.58624,69435004815.70863,27576666899.275543,13279822518.568716,U_10
335721659743.6904,68435468555.21572,27334421974.63303,13204172524.391085,U_10
324969305833.2588,67457707034.49936,27095484024.359985,13129228957.79886,U_10
314729853105.6178,66501091641.29619,26859793186.361088,13054983116.1958,U_10
304971018151.7997,65565016314.8909,26627290948.051838,12981426430.58578,U_10
295663030399.0479,64648896580.66662,26397920110.438644,12908550463.34374,U_10
286778399988.7979,63752168633.00025,26171624752.299896,12836346905.998026,U_10
278291710396.2413,62874288464.265335,25948350196.244534,12764807576.711771,U_10
270179432795.57138,62014731033.57679,25728042975.556633,12693924418.174154,U_10
262419759607.31714,61172989479.666695,25510650802.645576,12623689494.953793,U_10
254992454975.5249,60348574369.472786,25296122537.402256,12554094991.662998,U_10
247878720243.26334,59541012982.11884,25084408157.204823,12485133210.501398,U_10
241061072713.00565,58749848628.21592,24875458727.91586,12416796569.429796,U_10
234523236220.2654,57974640001.98541,24669226375.462883,12349077599.882488,U_10
228250042206.78775,57214960563.201614,24465664258.277092,12281968944.759085,U_10
222227340166.35645,56470397945.645424,24264726541.002884,12215463356.458838,U_10
216441916449.14783,55740553396.73508,24066368368.35067,12149553694.983326,U_10
210881420548.2616,55025041240.25562,23870545840.070812,12084232925.975908,U_10
205534298086.68756,54323488366.148056,23677215986.764153,12019494118.79658,U_10
200389729810.0104,53635533740.50523,23486336746.29873,11955330444.77218,U_10
195437575991.36746,52960827936.30673,23297866940.881184,11891735175.382412,U_10
3914183004014699.5,81369123002.3031,20530729388.91999,8011423573.592159,U_11
5266932098086393.0,79413708479.91591,20287339349.1005,7955074436.886155,U_11
7280221996997191.0,77528493983.21925,20048348973.3036,7899354971.449315,U_11
5335753000862356.0,75710150694.7915,19813652831.67483,7844255860.523523,U_11
678346322069826.9,73955545261.22444,19583148636.704903,7789767959.392739,U_11
5750398790535.469,72261726151.36528,19356737129.5244,7735882291.357232,U_11
4189356861337.524,70625911112.32016,19134321974.32739,7682590044.665902,U_11
3560662920570.6025,69045475625.20251,18915809656.043327,7629882567.6688595,U_11
3033065008683.1274,67517942274.89195,18701109380.504078,7577751366.193604,U_11
2605203290831.421,66040970942.38076,18490132980.894062,7526188100.420357,U_11
2259693068754.57,64612349759.45593,18282794826.17796,7475184580.564906,U_11
1978469384899.793,63229986745.92338,18079011734.04525,7424732764.384443,U_11
1747053319794.1572,61891902082.326096,17878702888.92994,7374824753.364853,U_11
1554489366859.4622,60596220956.95478,17681789760.369247,7325452789.572881,U_11
