Delta,Theta,Alpha,Beta,User_ID
81769858605.60732,16651018467.752413,6649611687.363335,3211975423.292071,U_1
79147762502.09274,16413054151.673641,6591479045.403399,3193744066.0405827,U_1
76650931861.60112,16180238125.113796,6534136524.591503,3175682453.9820476,U_1
74271468602.01033,15952422771.535297,6477569884.651844,3157788502.163325,U_1
72002090543.39328,15729465734.233822,6421765204.869652,3140060157.763248,U_1
69836074406.95168,15511229693.98259,6366708875.530971,3122495399.320635,U_1
67767204896.69607,15297582155.903114,6312387589.927194,3105092236.1423435,U_1
65789729132.81792,15088395246.206245,6258788335.936402,3087848707.8217115,U_1
63898315804.40105,14883545521.158335,6205898388.504012,3070762883.6541066,U_1
62088018479.93802,14682913783.665468,6153705301.75607,3053832862.1923795,U_1
60354242608.8927,14486384907.483715,6102196902.026077,3037056770.570967,U_1
58692715786.445045,14293847674.13248,6051361280.515542,3020432764.019605,U_1
57099460920.7537,14105194612.587744,6001186786.309801,3003959025.435052,U_1
55570771976.89619,13920321848.781643,5951662020.092822,2987633764.8511276,U_1
54103192029.92437,13739128962.700348,5902775827.170526,2971455218.936066,U_1
52693493358.926506,13561518850.550558,5854517291.636216,2955421650.4919953,U_1
51338659388.862274,13387397594.73044,5806875730.038852,2939531348.084771,U_1
50035868270.98317,13216674337.748806,5759840685.270098,2923782625.508405,U_1
48782477940.27024,13049261165.167498,5713401921.319161,2908173821.402288,U_1
47576012494.91192,12885072990.427296,5667549417.2602215,2892703298.570328,U_1
6.7240127953924824e+16,321859028033.69257,80974897370.21533,31578673515.897644,U_2
1.7906261293734242e+16,314095239962.52386,80014010567.95694,31356476571.20552,U_2
1.5765732399525918e+16,306611518089.2619,79070515145.17635,31136763742.71182,U_2
1.8719211885106932e+16,299394504854.5442,78143993703.46086,30919498254.187,U_2
2470308578466654.0,292431632280.93616,77234041304.7428,30704644008.28589,U_2
20830962420600.65,285711066449.1745,76340265027.73645,30492165571.396717,U_2
18179165782777.188,279221656493.4508,75462283542.37231,30282028159.44761,U_2
15572893775776.037,272952887688.42145,74599726700.67319,30074197623.475845,U_2
13189112412028.266,266894838267.24966,73752235145.66011,29868640435.508045,U_2
11236954298676.99,261038139629.34988,72919459936.15436,29665323675.293793,U_2
9667438175831.04,255373939637.87466,72101062185.36554,29464215017.18675,U_2
8400568670514.836,249893868732.70358,71296712715.53174,29265282717.471012,U_2
7367747612638.185,244590008618.22656,70506091725.37854,29068495601.370377,U_2
6516202330475.499,239454863299.56613,69728888471.64195,28873823050.90356,U_2
5806334106315.921,234481332271.89062,68964800962.15175,28681234993.531673,U_2
5208450024775.965,229662685678.8378,68213535661.88606,28490701889.750675,U_2
4700112218284.649,224992541276.0108,67474807209.95343,28302194722.660538,U_2
4264182869364.538,220464843054.4345,66748338147.64201,28115684986.173237,U_2
3887420762887.5713,216073841380.7202,66033858657.19473,27931144674.443714,U_2
3559477876986.2363,211814074542.2072,65331106310.38499,27748546271.789543,U_2
3272178322021.7925,207680351575.06357,64639825827.15473,27567862741.819447,U_2
3018995512480.5825,203667736279.92026,63959768842.47064,27389067517.821957,U_2
2794669066444.157,199771532328.42352,63290693682.90575,27212134493.05008,U_2
2594920991687.8735,195987269381.91556,62632365151.09017,27037038010.849552,U_2
2416243122804.8555,192310690134.6666,61984554318.9639,26863752855.646442,U_2
2255736232109.5547,188737738222.08066,61347038327.58682,26692254243.91042,U_2
2110987017434.3857,185264546921.14343,60719600194.906425,26522517815.082035,U_2
1979973144737.906,181887428586.70193,60102028631.023094,26354519623.174183,U_2
1860989280851.1594,178602864772.26346,59494117859.655304,26188236128.24976,U_2
1752588982818.6804,175407496978.07104,58895667446.14601,26023644188.07263,U_2
1653538676030.6829,172298117987.237,58306482131.8932,25860721050.149067,U_2
1562780929211.534,169271663746.69153,57726371674.62032,25699444343.94624,U_2
1479404938392.6274,166325205749.7838,57155150694.46736,25539792073.13618,U_2
1402622644518.2383,163455943891.6353,56592638525.522415,25381742608.201317,U_2
1331749286398.993,160661199758.77402,56038659072.44276,25225274678.90768,U_2
1266187469960.8809,157938410325.53702,55493040672.59248,25070367367.465744,U_2
1205414043901.7053,155285122029.63135,54955615962.531494,24917000101.305813,U_2
1148969228966.811,152698985198.9288,54426221749.315414,24765152646.276913,U_2
1096447568146.0695,150177748808.25076,53904698886.57845,24614805100.227016,U_2
1047490356249.6903,147719255542.34393,53390892154.27985,24465937886.1683,U_2
1001779277911.6992,145321437144.1501,52884650143.275734,24318531746.175655,U_2
959031037830.827,142982310033.21613,52385825143.23936,24172567734.905083,U_2
918992809647.3088,140699971171.10907,51894273035.03433,24028027213.844746,U_2
881438363369.5123,138472594163.19864,51409853186.30906,23884891845.193924,U_2
846164757752.471,136298425577.44003,50932428350.36748,23743143585.99735,U_2
812989505043.9965,134175781469.52962,50461864568.97233,23602764682.569187,U_2
781748132249.3644,132103044097.64421,49998031078.366165,23463737664.938915,U_2
752292076578.7506,130078658820.54248,49540800217.82345,23326045341.406895,U_2
724486863527.9521,128101131162.50967,49090047342.054565,23189670793.14885,U_2
698210524921.282,126169024033.99602,48645650735.96573,23054597369.345993,U_2
673352221275.9583,124280955106.34053,48207491532.33541,22920808681.822243,U_2
649811038823.6692,122435594321.91258,47775453632.01057,22788288599.938427,U_2
627494936203.8721,120631661535.91339,47349423627.05097,22657021246.115364,U_2
606319819858.6195,118867924282.50554,46929290726.15555,22526990991.171432,U_2
586208730401.3774,117143195658.83957,46514946682.416504,22398182449.264385,U_2
567091124933.2943,115456332313.56795,46106285723.53583,22270580473.390694,U_2
548902242547.72144,113806232539.88438,45703204484.52724,22144170151.296936,U_2
531582542154.17804,112191834466.88632,45305601941.50284,22018936800.84382,U_2
515077203304.165,110612114343.06189,44913379348.79581,21894865965.89132,U_2
499335682053.9755,109066084900.7523,44526440177.59264,21771943412.080284,U_2
484311315024.5278,107552793806.35371,44144690056.54834,21650155122.64261,U_2
469960965737.78296,106071322186.29225,43768036713.45493,21529487294.709938,U_2
456244708137.41705,104620783223.01462,43396389920.06187,21409926335.223526,U_2
443125542875.7156,103200320820.21092,43029661438.06032,21291458857.197144,U_2
430569142537.1584,101809108335.13304,42667764966.01663,21174071675.66508,U_2
418543622462.99677,100446347367.91002,42310616089.20209,21057751804.551556,U_2
407019334256.7711,99111266609.48424,41958132229.797455,20942486452.830097,U_2
395968679454.95874,97803120745.61238,41610232599.34058,20828263020.923485,U_2
385365941117.56586,96521189411.85616,41266838152.30753,20715069097.41656,U_2
375187131399.2123,95264776195.438,40927871541.27145,20602892455.55878,U_2
365409853385.23254,94033207686.52003,40593257073.167725,20491721050.18235,U_2
356013175673.89996,92825832569.02293,40262920666.84134,20381543014.194527,U_2
346977518390.3329,91642020758.05101,39936789812.63064,20272346655.755627,U_2
338284549436.67413,90481162572.91313,39614793531.73798,20164120455.076824,U_2
329917089948.7947,89342667947.1496,39296862338.11921,20056853061.145493,U_2
6.465786594674355e+16,407236698457.61444,102525853037.87177,39988976371.372604,U_3
6.063945460995216e+16,397422181708.53143,101309518903.1358,39707628225.572266,U_3
6.335670905915228e+16,387961310319.07477,100115192913.66663,39429425130.403824,U_3
5.055958276114787e+16,378837239831.4901,98942347063.67363,39154320531.40471,U_3
5837430768447208.0,370034119993.6163,97790469102.3007,38882268733.31315,U_3
29925396476679.06,361537024960.7039,96659061973.56516,38613224881.191315,U_3
22577130969096.098,353331889164.49457,95547643278.25784,38347144942.11328,U_3
19347057163273.79,345405448323.9208,94455744756.98228,38083985686.75168,U_3
16419850604820.219,337745185135.7114,93382911796.73932,37823704672.49394,U_3
14009114692816.748,330339279223.97284,92328702954.72903,37566260225.31738,U_3
12065556540998.025,323176560963.15094,91292689503.17877,37311611423.47161,U_3
10494518542308.463,316246468847.85187,90274454992.3122,37059718082.37312,U_3
9212458550683.223,309539010091.93256,89273594830.1778,36810540737.347145,U_3
8154511291566.79,303044724170.71094,88289715879.80376,36564040628.66545,U_3
7271846391390.596,296754649084.42554,87322436071.59393,36320179686.63587,U_3
6527806922179.29,290660290080.56537,86371384030.49467,36078920516.16188,U_3
5894680828543.355,284753590658.3456,85436198720.09929,35840226384.365944,U_3
5351296901461.211,279026905649.1284,84516529098.54893,35604061204.03416,U_3
4881293506418.582,273472976212.38696,83612033786.35138,35370389521.48823,U_3
4471879797110.375,268084906591.3376,82722380751.24982,35139176503.61322,U_3
4112945581382.094,262856142487.44366,81847247000.76045,34910387923.90168,U_3
3796416130364.071,257780450925.6306,80986318289.11554,34683990149.95721,U_3
3515779591045.301,252851901492.92514,80139288833.7349,34459950131.801575,U_3
3265736974136.876,248064848848.93384,79305861044.20908,34238235389.694458,U_3
3041940050320.022,243413916403.22534,78485745257.22699,34018814001.607765,U_3
2840792966610.261,238893981076.16403,77678659488.39381,33801654592.705795,U_3
2659300550412.888,234500159058.97488,76884329186.57014,33586726323.156357,U_3
2494951185334.782,230227792504.29663,76102486999.90138,33373998878.560207,U_3
2345625549702.623,226072437070.05325,75332872550.73729,33163442456.959175,U_3
2209524892448.795,222029850258.42648,74575232218.1869,32955027761.817177,U_3
2085114205472.0356,218095980496.84265,73829318929.18927,32748725988.620155,U_3
1971076854393.0989,214266956897.79877,73094891955.84195,32544508816.85972,U_3
1866278096680.492,210539079658.4847,72371716720.742,32342348399.74848,U_3
1769735547425.683,206908811050.80954,71659564609.9885,32142217354.087708,U_3
1680595117020.0574,203372766958.54724,70958212791.54152,31944088752.265434,U_3
1598111288761.0886,199927708930.89377,70267444039.97443,31747936112.44479,U_3
1521630861701.0298,196570536708.04337,69587046569.28047,31553733390.095695,U_3
1450579477636.9226,193298281192.48196,68916813868.83649,31361454968.64011,U_3
1384450398667.9705,190108097837.8095,68256544547.408104,31171075651.65275,U_3
